apartment_name,nearbylocation
Leelkrrsh Residency,"[('Hoskote Government Hospital', '2 km'), ('Sri Srinivasa Hospital Bengaluru Rural', '2 km'), ('Vibgyor High School Hoskote', '2 km'), ('Hoskote Bus Stand', '1 km'), ('NH 75', '1 km'), ('D Mart Hoskote', '3 km'), ('Brigade Signature Towers', '3 km')]"
Legacy Casero,"[('Chaitanya Medical Centre', '1.5 km'), ('Jayalakshmi Hospital', '2.0 km'), ('Jnanadeepika School', '1.8 km'), ('Yelahanka Junction', '2.5 km'), ('The Galleria Mall', '2.0 km')]"
Legacy Celo,"[('Navya Hospital', '1.5 km'), ('Icon Hospital', '1.5 km'), ('North Side Hospital', '2.0 km'), ('Jnanadeepika School', '1.8 km'), ('Elements Mall', '2.5 km')]"
Legacy Cirocco,"[('Chaitanya Medical Centre', '1.5 km'), ('Jayalakshmi Hospital', '2.0 km'), ('Jnanadeepika School', '1.8 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km')]"
Liam Daffodils,"[('Blossom Multispecialty Hospital', '2.0 km'), ('Oxford School Beratena Agrahara', '1.8 km'), ('Singasandra Metro Station', '1.5 km'), ('Apollo Clinic', '2.0 km'), ('Sujana Convent', '2.0 km')]"
Liam Lakedew,"[('Vibgyor', '2 km'), ('National Institute of Fashion Technology Bangalore', '2 km'), ('Raksha Orthopaedic And Multi Speciality Centre', '2 km'), ('Bellandur Main Road', '1 km'), ('Ecospace Tech Park', '3 km')]"
Liam Mahogany,"[('Hospitec Multispeciality Hospital', '2.0 km'), ('Jnanajyothi Eng School', '1.8 km'), ('Singasandra Metro Station', '1.5 km'), ('Apollo Clinic', '2.0 km'), ('New Bharat International Kudlu Gate Bommana Halli', '2.0 km')]"
Lisha Residency,"[('RMV Hospital', '1.5 km'), ('Mamta Hospital Bengaluru Rural', '1.8 km'), ('Shiksha Sagar High School', '1.0 km'), ('Hebbal Railway Station', '2.5 km'), ('Elements Mall', '3.0 km'), ('Yeshwantpur Junction', '3.0 km')]"
Lodha Azur,"[('Royal Meenakshi Mall', '2.3 km'), ('Fortis Hospital', '2.0 km'), ('Podar International School', '5.4 km'), ('Apollo Hospital', '4.3 km'), ('Greenwood High School', '4.6 km')]"
Lodha Mirabelle,"[('Baptist Hospital', '1.5 km'), ('Poornima Hospital', '2.0 km'), ('Sukrupa School', '1.8 km'), ('Hebbal Railway Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
Luxe One,"[('Kengeri Metro Station', '1.5 km'), ('BGS Global Hospitals', '2.0 km'), ('R.V. College of Engineering', '1.8 km'), ('Global Village Tech Park', '2.0 km'), ('SJB Institute of Technology', '2.0 km')]"
Luxury Apartment,"[('Seven Senses Montessori', '2 km'), ('G. G. Hospital', '2 km'), ('Indiranagar Metro Station', '2 km'), ('100 Feet Road', '1 km'), ('KLM Fashion Mall', '2 km'), ('Bagmane Tech Park', '3 km')]"
Luxury Apartment on Main Road,"[('CyteCare', '1.5 km'), ('Krishnadevaraya Hospital', '2.0 km'), ('Nitte Meenakshi Institute', '2.5 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km')]"
M V Royal Homes,"[('Sai Hospital', '1.5 km'), ('Navya Hospital', '1.8 km'), ('Samar International Islamic School', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Jawaharlal Nehru Centre For Advanced Scientific Research', '2.0 km')]"
M Vishweshwaraya Layout,"[('Kengeri Metro Station', '1.5 km'), ('Ullalu Government Hospital', '2.0 km'), ('Vijaya Hospital Bengaluru Urban', '2.0 km'), ('East West Institue of Technology', '2.0 km'), ('Government School', '1.8 km')]"
MBM Rohith Residency,"[('Rajnandani Hospital Bangalore', '2.0 km'), ('Orchids The International School', '1.8 km'), ('BMTC Bus Depot 34', '1.5 km'), ('T.R.Hospital', '2.0 km'), ('Srinidhi Public School', '2.0 km')]"
MBR Sfonia Mysore Road,"[('Nayandahalli Metro Station', '1.5 km'), ('Rajarajeshwari Hospital', '2.0 km'), ('PES University', '1.8 km'), ('B M Valley School', '2.5 km')]"
MC Fortune,"[('Vydehi School of Excellence', '2 km'), ('Garden City University', '2 km'), ('Vydehi Hospital', '2 km'), ('Nallurhalli Metro Station', '2 km'), ('Ascendas Park Square Mall', '2 km'), ('ITPL Main Road', '1 km'), ('NH 44', '1 km')]"
MC Sarovar,"[('Seegehalli Government Hospital', '2 km'), ('Health Plus Multi Speciality Hospital', '2 km'), ('Garden City College', '3 km'), ('Cambridge Institute of Technology', '3 km'), ('Indus Valley School', '2 km'), ('NH75', '1 km'), ('KR Puram Railway Station', '3 km')]"
MDVR SV Shelters,"[('Narayana Hrudayalaya', '2.0 km'), ('BTL Institute of Technology', '1.8 km'), ('Attibele Bus Stop', '1.5 km'), ('Athreya Hospital', '2.0 km'), ('Bangalore College Of Engineering And Technology', '2.0 km')]"
MIMS Habitat,"[('Bangalore Prime Hospital', '1.5 km'), ('Medi Derma Hospital', '1.8 km'), ('Teresa Bacq School', '1.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Samar International Islamic School', '1.0 km')]"
MJ Lifestyle Amadeus,"[('Anugrahaa Hospital', '1.5 km'), ('Springleaf Hospital', '2.0 km'), ('St Gasper School', '1.8 km'), ('Hosa Road Metro Station', '2.0 km'), ('Sahana Vidya Mandira', '2.0 km')]"
MJ Lifestyle Atria,"[('Singasandra Metro Station', '2.0 km'),  ('Maple Bear Canadian Pre-school', '1.8 km')]"
MJR North Park,"[('SH 104', '2.1 km'), ('Vikrant Hospital', '2.3 km'), ('Jawahar Navodaya Vidyalaya', '2.7 km'), ('CMR University', '6.0 km'), ('The Galleria Mall', '5.0 km'), ('Yelahanka Junction', '4.0 km'), ('Dodjala Metro Station (upcoming)', '2.0 km')]"
MJR Pearl,"[('Whitefield Metro Station', '2 km'), ('Whitefield Global School', '2 km'), ('New Life Hospital Bangalore', '2 km'), ('MVJ College of Engineering', '3 km'), ('Nexus Shantiniketan Mall', '3 km'), ('Whitefield Railway Station', '2 km')]"
MKB Friends Nest,"[('Garden City College', '2 km'), ('Cambridge Institute of Technology', '2 km'), ('Seegehalli Government Hospital', '2 km'), ('Health Plus Multi Speciality Hospital', '2 km'), ('Hoodi Railway Station', '2 km'), ('International Tech Park', '2 km'), ('Whitefield Metro Station', '2 km')]"
MLA Layout,"[('Vijayashree Hospitals', '1.5 km'), ('Narayana Nethralaya', '2.0 km'), ('T John Institute of Technology', '1.8 km'), ('Cinepolis', '2.5 km'), ('GHPS Gottigere', '2.0 km')]"
MR Enclave,"[('Singasandra Metro Station', '1.5 km'), ('Hospitec Multispeciality Hospital', '2.0 km'), ('New Bharat International Kudlu Gate', '2.0 km'), ('Shree Vidyanikethan', '2.0 km'), ('Kudlu Gate Metro Station', '1.5 km')]"
MRB Elite Apartment,"[('St Marthas Hospital', '2.0 km'), ('Gubbalala School', '1.8 km'), ('Uttarahalli Bus Station', '1.5 km'),('Rays Academy For Learning', '2.0 km'), ('Insight Academy', '2.0 km')]"
MV Periwinkle,"[('Navya Hospital', '1.5 km'), ('Sai Hospital', '2.0 km'), ('Kensri School', '1.8 km'), ('Tanisandra Railway Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
MV Periwinkle Apartments,"[('Navya Hospital', '1.5 km'), ('Sri Sai Hospital', '2.0 km'), ('Kensri School', '1.8 km'), ('Nagawara Metro Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
MVN Aero One,"[('The School For Global Minds', '2.5 km'), ('Pragathi First Grade College', '3.0 km'), ('Devanahalli Railway Station', '3.0 km'), ('SH 104', '1.0 km'), ('Akash Hospital', '3.0 km'), ('The Arcade Mall', '3.0 km')]"
MVR Pride,"[('Ryan International School', '2 km'), ('Vydehi Institute', '2 km'), ('Sakra World Hospital', '2 km'), ('Vydehi Hospital', '2 km'), ('Belandur Road Railway Station', '3 km'), ('International Tech Park', '3 km')]"
Maangalya Signature,"[('Delhi Public School', '2 km'), ('St. Thomas School', '2 km'), ('Agarwal Eye Hospital', '2 km'), ('Whitefield Railway Station', '2 km'), ('Nexus Whitefield Mall', '2 km')]"
Macasa Emerald,"[('Electronic City Metro Station', '1.5 km'), ('Harvest International School', '2.0 km'), ('Mathru Hospital', '2.0 km'), ('Dayananda Sagar University', '2.5 km'), ('Nexus Mall Koramangala', '3.0 km')]"
Mahabaleshwara Classique Temple Tree,"[('Omega Multispeciality Hospital', '2.0 km'), ('Akshaya Nursing Home Yelahanka', '1.5 km'), ('N4 Srishti Institute of Art Design & Technology', '2.0 km'), ('Yelahanka Junction', '3.0 km'), ('The Galleria Mall', '3.5 km'), ('B.M.S. Institute of Technology and Management', '2.0 km'), ('Ryan International School', '3.0 km')]"
Mahaghar Vajra,"[('Konanakunte Government Hospital', '2.0 km'), ('Kammavari Sangha Institute of Technology', '1.8 km'), ('Uttarahalli Bus Station', '1.5 km'), ('Aikya Healthcare', '2.0 km'), ('GHPS', '2.0 km')]"
Mahaveer Aspen,"[('Yelachenahalli Metro Station', '1.5 km'), ('Sri Sai Ram Hospital', '2.0 km'), ('Frank Public School', '1.8 km'), ('R.R. Hospital and Trauma Centre', '2.0 km'), ('Dayanand Sagar College of Engineering', '2.5 km')]"
Mahaveer Calyx,"[('Jayashree Multi Speciality Hospital', '2.0 km'), ('St Pauls School Begur', '1.8 km'), ('Hosa Road Metro Station', '1.5 km'), ('Government Primary Healthcare Center Begur', '2.0 km'), ('St Anns School Begur', '2.0 km')]"
Mahaveer Cedar,"[('Sapthagiri Hospital', '1.5 km'), ('Kruthika Hospital', '2.0 km'), ('Sapthagiri College of Engineering', '2.5 km'), ('Chikka Banavara Junction', '2.0 km'), ('Soundarya Institute of Management', '2.8 km')]"
Mahaveer Celesse,"[('N R V Hospital', '4.6 km'), ('Brindavan Group of Institutions', '5.9 km'), ('Delhi Public School', '7.4 km'), ('Yelahanka Junction', '7.7 km'), ('The Galleria Mall', '5.0 km'), ('Bellary Road', '3.1 km'), ('Nagarjuna Pre University College', '3.0 km')]"
Mahaveer Coral,"[('R R Hospital & Trauma Centre', '1.5 km'), ('Tiny Angels English Primary School', '2.0 km'), ('Forum Mall', '3.0 km'), ('Sri Balaji Speciality Clinic', '1.5 km'), ('CMS Business School', '2.0 km')]"
Mahaveer Desires,"[('Sapthagiri Hospital', '1.5 km'), ('Rajalakshmi Hospital', '1.8 km'), ('Sapthagiri College of Engineering', '2.0 km'), ('Chikka Banavara Railway Station', '2.5 km'), ('Mall of Asia', '4.0 km'), ('Jalahalli Metro Station', '3.0 km'), ('Soundarya Institute of Management', '2.0 km')]"
Mahaveer Fortune,"[('Peenya Metro Station', '1.5 km'), ('S.S.G. Hospital', '2.0 km'), ('Anupama Hospital', '2.0 km'), ('East West College of Nursing And Management', '1.8 km'), ('East West Institue of Technology', '2.0 km')]"
Mahaveer Galaxy,"[('BGS Global Hospitals', '2.0 km'), ('SJB Institute of Technology', '1.8 km'), ('Kengeri Metro Station', '1.5 km'), ('R.V. College of Engineering', '2.0 km'), ('Global Village Tech Park', '2.0 km')]"
Mahaveer Highlands,"[('Kengeri Bus Terminal', '4.2 km'), ('Shreya Hospital', '2.4 km'), ('Janani Vidya Mandira', '4.1 km'), ('Bengaluru University', '6.0 km'), ('Gopalan Arcade Mall', '6.7 km')]"
Mahaveer Ranches,"[('Mathru Hospital', '4.4 km'), ('Lakshmi Hayagrevar School', '0.45 km'), ('Singasandra Metro Station', '4.1 km'), ('Manipal University', '4.2 km'), ('Hopvizs Mall', '5.8 km')]"
Mahaveer Rich,"[('Sapthagiri Hospital', '1.5 km'), ('Kruthika Hospital', '2.0 km'), ('Sapthagiri College of Engineering', '2.5 km'), ('Chikka Banavara Junction', '2.0 km'), ('Soundarya Institute of Management', '2.8 km')]"
Mahaveer Rich Apartments,"[('Sapthagiri Hospital', '1.5 km'), ('Rajalakshmi Hospital', '1.8 km'), ('Sapthagiri College of Engineering', '2.0 km'), ('Chikka Banavara Railway Station', '2.5 km'), ('Mall of Asia', '4.0 km'), ('Jalahalli Metro Station', '3.0 km'), ('Soundarya Institute of Management', '2.0 km')]"
Mahaveer Rose,"[('Srushti Hospital', '1.5 km'), ('Silicon City HPS', '1.8 km')]"
Mahaveer Sitara,"[('Royal High School', '1.2 km'), ('Fortis Hospital', '2.1 km'), ('Konanakunte Cross Metro Station', '3.4 km'), ('Prime Spectrum Mall', '2.0 km'), ('Dayananda Sagar University', '4.9 km')]"
Mahaveer Turquoise,"[('Yelachenahalli Metro Station', '1.5 km'), ('Pralaksha Hospital', '2.0 km'), ('Brightway International Public School', '1.8 km'), ('New Era College', '2.5 km'), ('Manipal University', '3.0 km')]"
Mahaveer Varna,"[('Kannamangala Primary Health Center', '2 km'), ('Whitefield Metro Station', '2 km'), ('Orion Uptown Mall', '3 km'), ('International Tech Park', '2 km'), ('Vibgyor High School Kadugodi', '2 km')]"
Mahendra Aarya,"[('Mazumdar Shaw Medical Center', '2.0 km'), ('St. Joseph Chaminade Academy', '1.8 km'), ('Heelalige Railway Station', '2.0 km'), ('Ittina Neela Shopping Complex', '2.5 km'), ('St. Francis de Sales Degree College', '2.5 km')]"
Mahendra Arto Helix,"[('Mazumdar Shaw Medical Center', '2.0 km'), ('EISB - Ebenezer International School', '1.8 km'), ('Heelalige Railway Station', '2.0 km'), ('Dayananda Sagar University', '2.0 km'), ('JP Software Park', '2.0 km')]"
Mahindra Eden,"[('Thalagattapura Metro Station', '1.5 km'), ('Chethana Public School', '1.8 km'), ('Dayananda Sagar University', '2.0 km'), ('Samastha Hospital', '2.0 km')]"
Mahindra Zen,"[('Singasandra Metro Station', '1.5 km'), ('Kudlu Gate Metro Station', '1.5 km'), ('Maple Bear Canadian Pre-school', '1.8 km'), ('Jnanajyothi Eng School', '1.8 km'), ('Apollo Clinic', '2.0 km')]"
Maia Pelican Grove,"[('Chaitanya Medical Centre', '1.5 km'), ('Jayalakshmi Hospital', '2.0 km'), ('Jnanadeepika School', '1.8 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km')]"
Majestic Fortune,"[('Mysuru Road Metro Station', '1.5 km'), ('Sagar Hospitals', '2.0 km'), ('ORCHIDS The International School', '1.8 km'), ('Forum Mall', '4.0 km'), ('Dayananda Sagar University', '2.5 km')]"
Mana Candela,"[('Lakshya Public School', '2 km'), ('Karunalayam Hospital', '2 km'), ('RGA Techpark', '2 km'), ('Carmelaram Railway Station', '3 km'), ('Sarjapur Main Road', '1 km'), ('Market Square Mall Sarjapur Road', '4 km')]"
Mana Dale,"[('Oakridge International School Bangalore', '7.8 km'), ('Manipal University', '8.8 km'), ('Kauvery Hospital', '9.8 km'), ('Beratena Agrahara Metro Station', '8.5 km'), ('Sarjapur Road', '5.7 km'), ('Market Square Mall', '7.1 km'), ('Wipro Limited', '7.1 km')]"
Mana Karmel,"[('Karunalayam Hospital', '1.5 km'), ('Brothers Chemists', '0.8 km'), ('Little Millennium', '1.8 km'), ('Barbeque Nation', '1.2 km'), ('Ganesha Temple', '1.0 km')]"
Mana Skanda,"[('Stanford Speciality Hospital', '2 km'), ('Apollo Clinic', '2 km'), ('Sarjapur Main Road', '1 km'), ('Carmelaram Railway Station', '3 km'), ('RGA Techpark', '2 km')]"
Mana Tropicale,"[('Amrita School of Engineering', '2 km'), ('St Gasper School', '2 km'), ('Sahana Vidya Mandira', '2 km'), ('RGA Techpark', '2 km'), ('Varthur Main Road', '1 km'), ('Government Hospital', '2 km'), ('Whitefield Metro Station', '3 km')]"
Mana Uber Verdant 2,"[('CMR Gandhi Public School', '2 km'), ('Bangalore Institute of Management', '2 km'), ('Manipal Hospital', '2 km'), ('NH 44', '1 km'), ('Market Square Mall', '2 km'), ('Global Technology Park', '2 km'), ('Karmelaram Railway Station', '3 km')]"
Manar Elegance,"[('Narayana Multispeciality Hospital', '1.5 km'), ('MedPlus', '0.8 km'), ('Cambridge School ICSE', '1.8 km'), ('Veg Sagar', '1.2 km'), ('Sri Mariyamma Temple', '1.0 km')]"
Manar Manha,"[('Kudlu Gate Metro Station', '2.0 km'), ('Hospitec Multispeciality Hospital', '1.5 km')]"
Manasarovar Apartment,"[('Vibgyor School', '2 km'), ('Marathahalli Main Road', '1 km'), ('Kundalahalli Metro Station', '2 km'), ('Forum Value Mall', '3 km'), ('ITPL Main Road', '2 km')]"
Mangala Enclave,"[('Ashirwad Hospital', '1.5 km'), ('Pradnya Nethralaya', '1.8 km'), ('Mona Nursery Primary and High School', '1.0 km'), ('RT Nagar Bus Depot', '1.5 km'), ('Elements Mall', '3.0 km'), ('Hebbal Railway Station', '2.5 km'), ('Yeshwantpur Junction', '3.5 km')]"
Manito Northlite,"[('CyteCare', '1.5 km'), ('Navachethana Hospital', '1.8 km'), ('Ryan International School', '2.0 km'), ('Nitte Meenakshi Institute of Technology', '2.5 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km'), ('Sri Bhagawan Mahaveer Jain College', '1.5 km')]"
Manokammana,"[('Jubilee Nursing Home', '2.0 km'), ('SSM Primary School', '1.8 km'), ('Southend Metrorail Station', '1.5 km'), ('B.M.S. College of Engineering', '2.5 km'), ('Vishwabharathi Hospital Pvt. Ltd', '2.0 km')]"
Mantri Alpyne,"[('D.G. Hospital', '0.015 km'), ('National Public School', '0.005 km'), ('The Happy Valley School', '0.005 km'), ('Presidency School', '0.005 km'), ('RNS Institute of Technology', '0.005 km')]"
Mantri Astra Hennur,"[('Shree Vijayalakshmi Hospital', '1.5 km'), ('Good Shepherd Hospital', '1.8 km'), ('Yuvalok School', '2.0 km'), ('Sinclairs High School', '2.5 km'), ('Elements Mall', '3.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Thanisandra Railway Station', '2.5 km')]"
Mantri Greens,"[('Apollo Hospital', '1.5 km'), ('BBMP Public School', '1.0 km'), ('Mantri Square Mall', '0.5 km'), ('Yeshwantpur Metro Station', '1.5 km'), ('Srirampura Metro Station', '1.0 km'), ('Orion Mall', '2.0 km')]"
Mantri Residency,"[('Yelachenahalli Metro Station', '1.5 km'), ('Narayana Nethralaya', '2.0 km'), ('Vasan Eye Care Hospital Bannerghatta Road', '2.0 km'), ('Islamia Institute of Technology', '1.8 km'), ('Lords School', '1.8 km')]"
Mantri Serenity,"[('Doddakallasandra Metro Station', '1.5 km'), ('New Divine Public School', '1.8 km'), ('Samastha Hospital', '2.0 km'), ('Dayananda Sagar University', '2.5 km'), ('Royal Meenakshi Mall', '5.0 km')]"
Mantri Tranquil,"[('New Divine Public School', '0.7 km'), ('Dhee Hospitals', '0.95 km'), ('Royal Meenakshi Mall', '7.8 km'), ('PES University', '7.3 km'), ('Pattanagere Metro Station', '7.5 km')]"
Mantri Webcity,"[('Southern Asia Bible College', '0.5 km'), ('Diana College of Nursing', '2.1 km'), ('Poorna Prajna Education Center', '2.0 km'), ('Divine Care Hospital', '1.7 km'), ('The Big Market', '1.9 km'), ('Bangalore Baptist Hospital', '3.2 km'), ('Decathlon', '1.6 km')]"
Marigold Apartment,"[('Indo-German School', '2 km'), ('Chaya Super Speciality Hospital', '2 km'), ('Srivijaya Speciality Hospital', '2 km'), ('Channasandra Railway Station', '2 km'), ('Old Madras Road', '1 km'), ('Elements Mall', '3 km')]"
Mars Classic,"[('Jnana Bharathi Metro Station', '1.5 km'), ('Rc Hospital', '2.0 km'), ('Vasan Eye Care Hospital Rajarajeswari Nagar', '2.0 km'), ('Rajarajeshwari Vidya Shala', '1.8 km'), ('Carmel School Ground', '1.8 km')]"
Mars Meadows,"[('Unity Hospital Bengaluru Urban', '2.0 km'), ('RNS Institute of Technology', '1.8 km'), ('Rajarajeshwari Nagar Metro Station', '1.5 km'), ('Global Academy of Technology', '2.0 km'), ('JSS Academy of Technical Education', '2.0 km')]"
Mars Planet,"[('Hrushikesh School', '1.4 km'), ('PES University', '2.0 km'), ('Vinayaka Hospital', '3.1 km'), ('Gopalan Arcade Mall', '4.2 km'), ('Rajarajeshwari Nagar Metro Station', '4.6 km')]"
Maruti Prudential Apartments,"[('Prasad Vidya Mandir', '1.5 km'), ('Brand Factory', '2 km'), ('HAL', '2 km'), ('Kemp Fort Mall', '3 km'), ('Domlur Bus Stand', '3 km')]"
Masarada Upavan,"[('Athreya Hospital', '2.0 km'), ('Narayana Hrudayalaya', '2.5 km'), ('Bommasandra Metro Station', '1.5 km'), ('BTL Institute of Technology', '2.5 km'), ('Suvidya College', '3.0 km')]"
Mathapathi Grand,"[('Lakshya Public School', '2 km'), ('New Horizon Vidya Mandir', '2 km'), ('Karunalayam Hospital', '2 km'), ('Government Hospital', '2 km'), ('RGA Techpark', '2 km'), ('Carmelaram Railway Station', '3 km'), ('Sarjapur Main Road', '1 km')]"
Mathapathi Grand Field,"[('Karmelaram Railway Station', '3 km'), ('SH 35', '3.3 km'), ('Central Mall', '4.4 km'), ('Vasishta School of Excellence', '3 km'), ('Town Hospital Sarjapura', '4 km'), ('Beratena Agrahara Metro Station (upcoming)', '5 km'), ('Global Technology Park', '5 km')]"
Mayur Brundavan,"[('JJ Hospitals', '1.8 km'), ('Ebenezer International School', '2.5 km'), ('Hebbagodi Metro Station', '1.5 km'), ('Global Speciality Hospital', '2.0 km'), ('Bangalore College Of Engineering And Technology', '3.0 km')]"
Meda East Woods,"[('Orchids The International School Panathur', '1 km'), ('Vagdevi Vilas Super School', '1.5 km'), ('Munekolala Bus Stand', '1 km'), ('Medplus', '1 km'), ('New Horizon Gurukul', '2 km'), ('Sakra World Hospital', '3 km')]"
Meda Ela,"[('Vinayaka Specialty Hospital', '1.5 km'), ('St Philomina English School', '1.8 km'), ('Silicon City HPS Bommana Halli', '2.0 km'), ('Galaxy Paradise', '2.5 km'), ('Royal Meenakshi Mall', '3.0 km')]"
Meda Greens,"[('Kengeri Satellite Bus Stop', '0.5 km'), ('MEDSOL Hospital', '1.2 km'), ('Global Village Tech Park', '1.0 km'), ('Belaku Eye Hospital', '2.5 km'), ('Bangalore University', '3.5 km')]"
Meenakshi Vrdhavan,"[('Samastha Hospitals Pvt Ltd', '1.5 km'), ('Kammavari Sangha Institute of Technology', '2.0 km'), ('Gubbalala School', '2.0 km'), ('RMS International School', '2.5 km'), ('Konanakunte Government Hospital', '2.0 km')]"
Meridian Park at The Prestige City,"[('Forum The Prestige City', '1.9 km'), ('Sarjapur Road', '2 km'), ('Spandana Hospital', '3.2 km'), ('New Oxford High School', '4.9 km'), ('Azim Premji University', '5.4 km'), ('Karmelaram Railway Station', '10.7 km'), ('Beratena Agrahara Metro Station (upcoming)', '5 km')]"
Metro Eleganza,"[('Presidency Hospital', '2 km'), ('Garudacharpalya Metro Station', '2 km'), ('Mahadevapura Metro Station', '2 km'), ('Phoenix Marketcity Mall', '2 km'), ('International Tech Park', '2 km')]"
Metropolis Mid Town,"[('Yelachenahalli Metro Station', '1.5 km'), ('Sri Sai Ram Hospital', '2.0 km'), ('Rajnandani Hospital Bangalore', '2.0 km'), ('Supra South City Hospital', '2.0 km'), ('Greenvalley High School', '1.8 km'), ('RMS International School', '1.8 km')]"
Millionaire Tower,"[('N R V Hospital', '2.0 km'), ('Lakshmi Hospital', '2.5 km'), ('Dodjala Railway Station', '3.0 km'), ('Adyar Ananda Bhavan', '2.0 km'), ('Rinac India Limited', '3.5 km')]"
Mithra Maanya Mansion,"[('Aveksha Hospital', '1.5 km'), ('Rajalakshmi Hospital', '2.0 km'), ('Sambhram Institute of Technology', '2.5 km'), ('Vidyaranyapura Bus Stand', '1.5 km'), ('Air Force School', '2.0 km')]"
Mithra Mygate,"[('Tranquil Healthcare', '1.5 km'), ('Herbocare Hospital Pvt', '1.8 km'), ('Sinclairs High School', '1.0 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Hennur Main Road', '1.0 km')]"
Mittal Elanza,"[('EuroSchool North Campus', '550 m'), ('Presidency PU College', '600 m'), ('Amruth Hospital', '1.2 km'), ('Bellahalli Main Road', '1.7 km'), ('Yelahanka Junction', '3.1 km'), ('REVA University', '3.4 km'), ('The Galleria Mall', '4.1 km')]"
Mittal Palms,"[('CyteCare', '1.5 km'), ('NDR Multi Speciality Hospital', '2.0 km'), ('Jnanadeepika School', '1.8 km'), ('Yelahanka Junction', '2.5 km'), ('The Galleria Mall', '2.0 km')]"
Modern Serene Heights,"[('Aandeepani Academy for Excellence', '450 m'), ('SVP Patel PU College', '2.3 km'), ('Sathya Sai Hospital', '950 m'), ('Heelalige Railway Station', '11.6 km'), ('SH 35', '350 m'), ('RRL Towers', '1.8 km')]"
Modern Soul Tree,"[('Saandeepani Academy For Excellence', '2 km'), ('Siri Shrine PU College', '2 km'), ('Spandana Heart & Super Speciality Hospital', '2 km'), ('Heelalige Railway Station', '3 km'), ('Market Square Mall Sarjapur Road', '2 km'), ('SH 35', '1 km'), ('Wipro Limited SEZ', '3 km')]"
Modern Spaces Engrace Vista,"[('New Macaulay High School', '950 m'), ('International School of Management', '3.8 km'), ('Pandana Hospital', '2.1 km'), ('Carmelaram Railway Station', '9.8 km'), ('SH 35', '1.4 km'), ('RGA Techpark', '3 km')]"
Monalisa 100 Ft Road Indira Nagar,"[('Lotus Diagnostic Centre', '2 km'), ('100 Feet Road', '1 km'), ('Indiranagar Metro Station', '2 km'), ('KLM Fashion Mall', '2 km'), ('Bagmane Tech Park', '3 km')]"
Monarch Aqua,"[('Fantasy Park', '500 m'), ('Samara Jyothi Public School', '950 m'), ('Saltor Hospitals', '1.2 km'), ('Janakinarayana Complex', '1.5 km'), ('Garden City University', '2.3 km'), ('Villupuram Road', '3.2 km'), ('KR Puram Railway Station', '3.3 km')]"
Monarch Serenity,"[('Bangalore Prime Hospital', '1.5 km'), ('Sai Hospital', '1.8 km'), ('Samar International Islamic School', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('REVA University', '3.0 km')]"
Morning Glory,"[('Stanford Speciality Hospital', '2 km'), ('Raksha Orthopaedic And Multi Speciality Centre', '2 km'), ('Kudlu Gate Metro Station', '2 km'), ('Total Mall', '2 km'), ('RGA Tech Park', '2 km')]"
Mother Elite,"[('Unity Hospital Bengaluru Urban', '2.0 km'), ('RNS Institute of Technology', '1.8 km'), ('Rajarajeshwari Nagar Metro Station', '1.5 km'), ('Global Village Tech Park', '2.0 km'), ('JSS Academy of Technical Education', '2.0 km')]"
Motwani Fairmount Towers Apartments,"[('Santorini Montessori', '2 km'), ('K C Raju Multi Speciality Hospital', '2 km'), ('Sundar Hospital', '2 km'), ('Banaswadi Railway Station', '2 km'), ('Bengaluru East Railway Station', '2 km'), ('Elements Mall', '3 km')]"
Mugu,"[('Sarvodaya Hospital', '2.0 km'), ('Holy Child Convent School', '1.8 km'), ('Vishwabharathi Hospital', '2.0 km'), ('SSM Public School', '2.5 km'), ('Bharathi Hospitals', '2.0 km')]"
Mukunda Brundhavan,"[('Government Primary School', '2 km'), ('Seegehalli Government Hospital', '2 km'), ('New Life Hospital', '2 km'), ('Whitefield Metro Station', '2 km'), ('Hoodi Halt Station', '2 km'), ('International Tech Park Bangalore (ITPB)', '2 km')]"
Mukunda Gokulam,"[('LR International School', '2 km'), ('Hayagriva Girls’ School', '2 km'), ('Venus MultiSpeciality Hospital', '2 km'), ('Sree Lakshmi Hospital', '2 km'), ('Whitefield (Kadugodi) Metro Station', '2 km'), ('Nexus Shantiniketan Mall', '3 km')]"
